# English text from the static pages, tab, Russian translation.
Coddy Agent - general-purpose agent in one Go binary	Coddy Agent — универсальный агент в одном Go-бинарнике
Coddy vs other agent harnesses - 2026 comparison	Coddy и другие агентные среды — сравнение 2026 года
Install	Установка
Demo	Демо
Features	Возможности
Compare	Сравнение
Docs	Документация
Home	Главная
Releases	Релизы
MIT License	Лицензия MIT
GitHub, latest release	Последний релиз на GitHub
Copy	Копировать
Script	Скрипт
View install script	Посмотреть скрипт установки
Release assets	Файлы релиза
Linux	Linux
macOS	macOS
Windows	Windows
Docker	Docker
Compose	Compose
Debian / Ubuntu	Debian / Ubuntu
Fedora / RHEL	Fedora / RHEL
Homebrew	Homebrew
Coddy Agent	Coddy Agent
Coddy Project ·	Coddy Project ·
GitHub	GitHub
llms.txt	llms.txt
github.com/coddy-project	github.com/coddy-project
↗	↗
.	.
,	,
and	и
no	нет
yes	да
no data	нет данных
partial	частично
auto	автоматически
plugin	плагин
binary	бинарник
community	сообщество
proprietary	проприетарная
cloud	облако
server	сервер
gateway	шлюз
native	встроено
desktop	настольное приложение
headless	без интерфейса
TUI	TUI
ACP	ACP
RPC	RPC
SDK	SDK
MIT	MIT
Apache-2.0	Apache-2.0
TypeScript	TypeScript
Rust	Rust
Go	Go
Python	Python
Run a general-purpose agent	Запустите универсального агента
from one static binary	из одного статического бинарника
Coddy is an agent harness: a ReAct loop with filesystem and shell tools, MCP, project rules, skills, subagents, hooks, background tasks, and long-term memory. Drive it from a terminal, a browser, your editor over ACP, or Telegram; run it as a service with a cron scheduler, a swarm relay for a fleet of nodes, and remote control from anywhere. Built for containers and your own API keys.	Coddy — платформа для агентов: цикл ReAct с инструментами для файлов и командной строки, MCP, правилами проекта, навыками, субагентами, хуками, фоновыми задачами и долговременной памятью. Работайте через терминал, браузер, редактор по ACP или Telegram. Запускайте как сервис с планировщиком cron, ретранслятором для группы узлов и удалённым управлением. Подходит для контейнеров и ваших собственных ключей API.
Quick install	Быстрая установка
Puts the latest release binary on your PATH and creates	Добавляет бинарник последнего релиза в PATH и создаёт
from the example when it is missing.	на основе примера, если файла ещё нет.
Swap	Замените
for	на
on 64-bit ARM, or pick a file from the	для 64-битной ARM или выберите файл в
latest release	последнем релизе
. The package brings	. Пакет устанавливает
and the shell completions, no service and no system account, and	и автодополнение команд. Сервис и системная учётная запись не создаются; команда
defers to the package manager.	передаёт обновление пакетному менеджеру.
openSUSE takes the same file with	В openSUSE этот же файл устанавливается через
. Swap	. Замените
About the cask	О Homebrew-пакете
Every release publishes the cask beside its archives. It adds	Каждый релиз публикует Homebrew-пакет вместе с архивами. Он добавляет
and the shell completions, and	и автодополнение команд, а
hands over to	передаёт обновление команде
. If macOS blocks the first run, clear the quarantine flag with	. Если macOS блокирует первый запуск, снимите флаг карантина командой
Run it in PowerShell. Puts the latest release binary on your PATH and creates	Запустите команду в PowerShell. Она добавит бинарник последнего релиза в PATH и создаст
Docker guide	Руководство по Docker
Compose file in the repo	Compose-файл в репозитории
Opens the web UI on	Открывает веб-интерфейс по адресу
localhost:12345	localhost:12345
. The agent works in the mounted	. Агент работает в подключённом каталоге
; sessions, skills and config live in the second mount. The image is built for	; сессии, навыки и конфигурация находятся во втором томе. Образ собирается для
and published to the GitHub Container Registry, no login needed to pull. Pin a release instead of	и публикуется в GitHub Container Registry — для загрузки вход не нужен. Вместо
, for example	можно закрепить версию релиза, например
Save it as	Сохраните файл как
and run	и выполните
. In the repository:	. В репозитории есть:
for the published image and	для опубликованного образа и
to build from source with your own tags.	для сборки из исходников со своими тегами.
Then set a provider key in	Затем укажите ключ провайдера в
the terminal console	терминальную консоль
the web UI	веб-интерфейс
an editor client over ACP	клиент редактора по ACP
upgrade later	обновление в будущем
Other install methods and details:	Другие способы установки и подробности:
· Homebrew by name is still on its way, see	· Установка Homebrew по имени пока готовится, см.
See it in action	Посмотрите, как это работает
Web UI	Веб-интерфейс
Terminal	Терминал
Editor (ACP)	Редактор (ACP)
The same agent served by	Тот же агент, запущенный через
: streamed tool calls, a permission card with a real diff, session history, seven themes, and an environment switch that points the UI at a remote server.	: потоковый вывод вызовов инструментов, запрос разрешения с настоящим diff, история сессий, семь тем и переключатель окружения для подключения к удалённому серверу.
Bare	Обычный запуск
in a terminal: pick a model with	в терминале: выберите модель через
, approve edits and commands as the agent works, resume with	, подтверждайте правки и команды во время работы агента, возобновляйте сессию через
, drive a remote server with	, подключайтесь к удалённому серверу через
Zed launches	Zed запускает
for the workspace, and coddy's own modes, models and permission policy show up in the editor's agent panel; its skills arrive as slash commands. One entry in Zed's	для рабочего каталога. Режимы, модели и политика разрешений Coddy отображаются в панели агента редактора, а навыки доступны как слеш-команды. Достаточно одной записи в
What is Coddy	Что такое Coddy
Coddy started as a coding agent and grew into a	Coddy начинался как агент для программирования и вырос в
general-purpose harness	универсальную платформу для агентов
: Cursor-style rules and skills on disk,	: правила и навыки в стиле Cursor на диске, режимы
modes, tool permissions, streaming output, and sessions you can resume from a terminal, an IDE, a browser, Telegram, or automation - the same	, разрешения инструментов, потоковый вывод и сессии, которые можно продолжить из терминала, IDE, браузера, Telegram или автоматизации. Один и тот же каталог
bundle whichever surface opens it.	используется независимо от интерфейса.
Ship it as a single binary in	Разверните один бинарник в образе
distroless	distroless
or	или
from-scratch	с нуля
images, or run a	или запустите
fleet of containers	группу контейнеров
with your orchestrator defining CPU, memory, and mounts - one agent per task, full control of each instance, and one swarm relay that lists and reaches every node.	под управлением оркестратора, задающего CPU, память и тома: отдельный агент для каждой задачи, полный контроль над каждым экземпляром и один ретранслятор, связывающий все узлы.
Agent core	Основа агента
ReAct loop	Цикл ReAct
Reasoning, tool calls, and observations in a loop, with runaway-loop guards on repeated output and repeated tool calls.	Рассуждения, вызовы инструментов и наблюдения в цикле; защита останавливает повторяющийся вывод и одинаковые вызовы инструментов.
Subagents	Субагенты
delegates a bounded task to a child agent with its own context and session. Markdown definitions that can only narrow the parent's tools.	передаёт ограниченную задачу дочернему агенту с отдельным контекстом и сессией. Определения в Markdown могут только сужать доступ к инструментам родителя.
Hooks	Хуки
Your own commands at every lifecycle point, in Claude Code's	Ваши команды на каждом этапе жизненного цикла в формате Claude Code
shape. A hook can deny, approve or rewrite a tool call before it runs.	. Хук может отклонить, разрешить или изменить вызов инструмента до его выполнения.
Background tasks	Фоновые задачи
Long commands run detached with	Долгие команды запускаются в фоне через
. A Tasks panel tracks them against the model's own estimate; the agent collects output later.	. Панель задач отслеживает их относительно оценки модели; агент забирает результат позже.
Compaction	Сжатие контекста
plus automatic summarization at a context threshold. The recent turns stay verbatim and the full transcript stays on disk.	и автоматическое резюмирование при заполнении контекста. Последние сообщения сохраняются без изменений, а полная история остаётся на диске.
Long-term memory	Долговременная память
Optional memory copilot that recalls across sessions, with per-session memory routes on the HTTP surface.	Необязательный помощник по памяти извлекает сведения из прошлых сессий; HTTP API предоставляет маршруты памяти для каждой сессии.
Where you run it	Где работать с агентом
Console	Консоль
on a terminal. Streaming transcript, tool boxes, permission modals,	в терминале: потоковая история, блоки инструментов, окна разрешений,
for a local shell the model never sees,	для локальной оболочки, недоступной модели,
to resume,	для продолжения сессии,
for one-shot output.	для однократного вывода.
Embedded SPA at	Встроенное SPA по адресу
with the	с
tags. Chat, sessions, plan documents, Tasks and scheduler drawers, the swarm map, live settings.	тегами. Чат, сессии, планы, панели задач и планировщика, карта узлов и настройки в реальном времени.
over stdio. Sessions, modes, permissions, and streaming updates for Zed, Obsidian, VS Code, or your own script.	через stdio: сессии, режимы, разрешения и потоковые обновления для Zed, Obsidian, VS Code или вашего скрипта.
HTTP API	HTTP API
OpenAI-compatible gateway on	Совместимый с OpenAI шлюз по адресу
, models, Swagger at	, модели, Swagger по адресу
Telegram gateway	Шлюз Telegram
Bot adapter with per-user sessions, group isolation modes, admin ACL, and native rich messages. Extensible to other messengers.	Адаптер бота с отдельными сессиями для пользователей, режимами изоляции групп, списком прав администратора и форматированными сообщениями. Можно расширить на другие мессенджеры.
Sessions	Сессии
Bundles on disk under	Наборы данных на диске в
, resumed from any surface. Edit a message to branch the conversation,	, доступные из любого интерфейса. Отредактируйте сообщение, чтобы создать ветку диалога; экспортируйте
to Markdown, HTML or JSON.	в Markdown, HTML или JSON.
Operate it	Управление
One process for every subsystem	Один процесс для всех подсистем, которые
enables.	включает.
keeps it in the background with	оставляет его работать в фоне через
, and	и
, and an edited config reaches it without a restart.	; изменения конфигурации применяются без перезапуска.
Swarm	Рой узлов
A relay lists and reaches many nodes, mounts their sessions into one list and routes across rings. Nodes that can only dial out join through a reverse tunnel.	Ретранслятор связывает несколько узлов, собирает их сессии в общий список и маршрутизирует запросы между кольцами. Узлы, способные только к исходящему соединению, подключаются через обратный туннель.
Remote control	Удалённое управление
Point the console or	Подключите консоль или
at a running server with	к работающему серверу через
, or switch the web UI between local and remote from the composer.	или переключите веб-интерфейс между локальным и удалённым сервером в поле ввода.
Scheduler	Планировщик
Cron jobs with a UI drawer and agent tools, so recurring work runs without a session open.	Задачи cron с панелью управления и инструментами агента: повторяющаяся работа запускается без открытой сессии.
Config check and dry run	Проверка конфигурации и пробный запуск
validates	проверяет
against the embedded schema with	по встроенной схеме с
and a fix line.	и подсказкой для исправления.
probes paths, providers, models, ports, MCP servers and remotes before anything starts.	проверяет пути, провайдеров, модели, порты, MCP-серверы и удалённые подключения до запуска.
Docker and distroless	Docker и distroless
Published images on	Образы публикуются в
for amd64 and arm64, or drop the static binary into a scratch image with a read-only rootfs.	для amd64 и arm64. Статический бинарник также можно поместить в минимальный образ с файловой системой только для чтения.
Project context and control	Контекст проекта и контроль
Rules	Правила
Auto-discovers	Автоматически находит
under the session cwd.	внутри рабочего каталога сессии.
, and nested	и вложенные
Skills	Навыки
Slash commands from	Слеш-команды из
packs in	наборов в
. Install from registries with	. Устанавливайте из каталогов через
or from Settings → Skills.	или в меню «Настройки → Навыки».
MCP servers	MCP-серверы
Connect MCP servers over stdio, streamable HTTP and SSE, from config,	Подключайте MCP-серверы через stdio, потоковый HTTP и SSE из конфигурации,
files or the editor. Their tool definitions merge into the agent and plan loops.	файлов или редактора. Их инструменты доступны агенту и режиму планирования.
Three modes	Три режима
runs the full toolset,	использует все инструменты,
writes plan documents only,	создаёт только планы,
is read-only research with web search.	ищет информацию в режиме только для чтения с веб-поиском.
Permissions and trust	Разрешения и доверие
Edits and commands ask before they run, and a grant can widen to a whole program. Project-local MCP servers, hooks and subagent files need an explicit approval first.	Правки и команды запрашивают разрешение перед выполнением; его можно выдать для всей программы. MCP-серверы, хуки и файлы субагентов из проекта также требуют явного подтверждения.
Self-configuration	Самонастройка
The agent edits its own YAML through staged	Агент редактирует собственный YAML через подготовленные команды
commands. Nothing lands until a commit you approve, which validates and hot-reloads.	. Изменения вступают в силу только после подтверждённого вами коммита, проверки и перезагрузки конфигурации.
Models, tools and appearance	Модели, инструменты и внешний вид
Any provider	Любой провайдер
OpenAI, Anthropic, Ollama, NeuralDeep, any OpenAI-compatible API, plus ChatGPT sign-in through the Codex backend. Your keys, your endpoints.	OpenAI, Anthropic, Ollama, NeuralDeep, любой API, совместимый с OpenAI, и вход через ChatGPT с помощью Codex backend. Ваши ключи и адреса серверов.
Reasoning levels	Уровни рассуждения
A composer dropdown picks the effort for reasoning models, mapped to OpenAI	В поле ввода можно выбрать усилие для рассуждающих моделей, соответствующее параметру OpenAI
or Anthropic thinking budgets.	или бюджету рассуждений Anthropic.
Multimodal	Мультимодальность
Attach images and files in the composer when the model supports it. Assets are saved to the session directory and injected into the agent context.	Прикрепляйте изображения и файлы, если модель их поддерживает. Они сохраняются в каталоге сессии и добавляются в контекст агента.
Usage and limits	Расход и лимиты
The quota behind the current model in the console footer and the web UI, for providers that publish one. A turn that hits a limit can wait for the reset and resume by itself.	Квота текущей модели отображается внизу консоли и в веб-интерфейсе, если провайдер её сообщает. При достижении лимита запрос может дождаться сброса и продолжиться автоматически.
SSH commands	Команды SSH
reaches remote hosts over pure-Go SSH, authenticating from your SSH agent or	подключается к удалённым хостам по SSH на Go, используя SSH-агент или ключи
keys.	.
Themes and language	Темы и язык
Seven web UI themes and an English or Russian interface, switched in Settings → Appearance without touching the config.	Семь тем веб-интерфейса и переключение между английским и русским языками в настройках внешнего вида без изменения конфигурации.
How Coddy compares	Сравнение Coddy
Coddy vs the 2026 agent harnesses	Coddy и другие агентные среды в 2026 году
Twenty harnesses read side by side in September 2026 - Claude Code, Codex CLI, OpenCode, Pi, OMP, DeepSeek Harness, OpenClaw, Hermes, Goose, Aider, Cline, OpenHands, Crush, Reasonix, CodeWhale, Grok Build, Antigravity CLI, Koda, Drift and Coddy - across delivery, surfaces, extensibility, context handling and the trust model.	Сравнение двадцати агентных сред по состоянию на сентябрь 2026 года: Claude Code, Codex CLI, OpenCode, Pi, OMP, DeepSeek Harness, OpenClaw, Hermes, Goose, Aider, Cline, OpenHands, Crush, Reasonix, CodeWhale, Grok Build, Antigravity CLI, Koda, Drift и Coddy. Рассмотрены установка, интерфейсы, расширяемость, работа с контекстом и модель доверия.
Six of twenty	Шесть из двадцати
ship as one static file with no runtime. Only Coddy also carries a web UI, a scheduler, memory and a messenger gateway inside it.	поставляются одним статическим файлом без среды выполнения. Только Coddy включает в тот же файл веб-интерфейс, планировщик, память и шлюз мессенджера.
Nobody else	Никто другой
in the set lets the agent stage edits to its own YAML with validation, a snapshot and a rollback.	из списка не позволяет агенту готовить изменения собственного YAML с проверкой, снимком и откатом.
Where it loses:	Где Coddy уступает:
no kernel sandbox like Codex CLI, no LSP or DAP like OMP, no workspace checkpoints like Reasonix.	нет изоляции на уровне ядра, как в Codex CLI, нет LSP или DAP, как в OMP, и нет снимков рабочего каталога, как в Reasonix.
Read the full comparison with all five tables	Читайте полное сравнение с пятью таблицами
Questions	Вопросы
What is Coddy Agent?	Что такое Coddy Agent?
Coddy Agent is an open-source, general-purpose AI agent that ships as one static Go binary under the MIT license. It runs a ReAct loop with filesystem and shell tools, MCP servers, project rules, skills, subagents, hooks, background tasks, a cron scheduler, and long-term memory, and the same agent is available from a terminal, a browser, an editor over ACP, or Telegram, on one machine or across a swarm of them.	Coddy Agent — универсальный ИИ-агент с открытым исходным кодом под лицензией MIT, поставляемый одним статическим Go-бинарником. Он выполняет цикл ReAct с инструментами для файлов и командной строки, MCP-серверами, правилами проекта, навыками, субагентами, хуками, фоновыми задачами, планировщиком cron и долговременной памятью. Один и тот же агент доступен через терминал, браузер, редактор по ACP или Telegram, на одном компьютере или в группе узлов.
Which LLM providers and models does Coddy work with?	С какими провайдерами и моделями работает Coddy?
Any OpenAI-compatible API plus Anthropic: OpenAI, Anthropic, Ollama, llama.cpp, vLLM, NeuralDeep, or your own gateway, always with your own keys and endpoints. ChatGPT sign-in works through the Codex backend. Models are declared in	Любой API, совместимый с OpenAI, а также Anthropic: OpenAI, Anthropic, Ollama, llama.cpp, vLLM, NeuralDeep или ваш собственный шлюз, с вашими ключами и адресами серверов. Вход через ChatGPT работает через Codex backend. Модели задаются в
and switched per session.	и переключаются для каждой сессии.
How do I install Coddy?	Как установить Coddy?
Linux and macOS:	Linux и macOS:
. Windows:	. Windows:
. The script downloads the latest release binary, puts it on your PATH, and creates	. Скрипт скачивает бинарник последнего релиза, добавляет его в PATH и создаёт
from the example. On Linux you can instead install the	на основе примера. В Linux также можно установить пакет
published with every release (	, публикуемый с каждым релизом (
), and on macOS the Homebrew cask straight from the release (	), а в macOS — Homebrew-пакет непосредственно из релиза (
); both register Coddy with your package manager and add the man page and shell completions. Docker:	). Оба способа регистрируют Coddy в пакетном менеджере и добавляют man-страницу и автодополнение. Docker:
opens the web UI on	открывает веб-интерфейс по адресу
, and the Docker tab of the install block also carries a	; на вкладке Docker также есть
to copy; the multi-arch images (amd64, arm64) are published to the GitHub Container Registry, not Docker Hub.	для копирования. Многоархитектурные образы (amd64, arm64) опубликованы в GitHub Container Registry.
upgrades an existing install.	обновляет существующую установку.
Can Coddy run on-premises with local models?	Можно ли запускать Coddy локально с локальными моделями?
Yes. Point a model entry at a local OpenAI-compatible server such as Ollama, llama.cpp, or vLLM and no prompt leaves your network. The binary is static, so it also runs in distroless or from-scratch containers with a read-only root filesystem, one agent per task.	Да. Укажите для модели локальный сервер, совместимый с OpenAI, например Ollama, llama.cpp или vLLM: запросы не покинут вашу сеть. Статический бинарник работает и в контейнерах distroless или минимальных образах с файловой системой только для чтения — по одному агенту на задачу.
Which editors and clients can host Coddy?	В каких редакторах и клиентах работает Coddy?
speaks the Agent Client Protocol over stdio, so Zed, Obsidian, VS Code, or your own script get sessions, modes, permissions, streaming updates, and skills as slash commands.	использует Agent Client Protocol через stdio, поэтому Zed, Obsidian, VS Code или ваш скрипт получают сессии, режимы, разрешения, потоковые обновления и навыки как слеш-команды.
runs everything else in one process - the OpenAI-compatible REST API with the embedded web UI, the Telegram gateway, the swarm relay, the cron scheduler - and starts whichever of them	запускает остальные компоненты в одном процессе: REST API, совместимый с OpenAI, встроенный веб-интерфейс, шлюз Telegram, ретранслятор узлов и планировщик cron. Он включает те из них, которые разрешены в
